track_album_name,instrumentalness,tempo,id,speechiness,track_name,playlist_id,valence,type,playlist_genre,track_album_id,loudness,danceability,track_album_release_date,analysis_url,track_popularity,track_id,track_href,liveness,time_signature,playlist_subgenre,uri,track_artist,playlist_name,key,mode,duration_ms,acousticness,energy
Rachmaninov: Piano Concerto No.2,0.945,140.966,4rrrn8OLrttq7r9RgNXalU,0.0366,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",37i9dQZF1DWWEJlAGA9gs0,0.0385,audio_features,classical,5lVqgXqdoIH3W1wUM2hzPx,-24.877,0.194,2012-01-01,https://api.spotify.com/v1/audio-analysis/4rrrn8OLrttq7r9RgNXalU,60,4rrrn8OLrttq7r9RgNXalU,https://api.spotify.com/v1/tracks/4rrrn8OLrttq7r9RgNXalU,0.0551,4,essential,spotify:track:4rrrn8OLrttq7r9RgNXalU,"Sergei Rachmaninoff, Valentina Lisitsa, London Symphony Orchestra, Michael Francis",Classical Essentials,4,1,644273,0.983,0.0545
Liszt,0.921,76.382,3GecLjGMqzjmgkvy2v41Wf,0.0388,"Ständchen in D Minor (After Schubert), S. 560",37i9dQZF1DWWEJlAGA9gs0,0.0384,audio_features,classical,12TLeKJv0q5fnF2obaf6Is,-28.293,0.341,2011-08-23,https://api.spotify.com/v1/audio-analysis/3GecLjGMqzjmgkvy2v41Wf,53,3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/tracks/3GecLjGMqzjmgkvy2v41Wf,0.113,1,essential,spotify:track:3GecLjGMqzjmgkvy2v41Wf,"Franz Liszt, Lise de la Salle",Classical Essentials,2,1,357747,0.993,0.0142
Liszt - My Piano Hero,0.902,136.732,2u9VGZmVz7Rm01SfDgzcfA,0.0406,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",37i9dQZF1DWWEJlAGA9gs0,0.0338,audio_features,classical,39Hh5k01di42nUCLn8Wxqu,-26.804,0.279,2011-07-25,https://api.spotify.com/v1/audio-analysis/2u9VGZmVz7Rm01SfDgzcfA,60,2u9VGZmVz7Rm01SfDgzcfA,https://api.spotify.com/v1/tracks/2u9VGZmVz7Rm01SfDgzcfA,0.104,3,essential,spotify:track:2u9VGZmVz7Rm01SfDgzcfA,"Franz Liszt, Lang Lang",Classical Essentials,8,1,293147,0.987,0.0292
Quirk,0.874,90.041,4FycxLfl7H5CQnqw9J6LXZ,0.0419,Palladio: 1. Allegretto (arr. for Strings Orchestra),37i9dQZF1DWWEJlAGA9gs0,0.0719,audio_features,classical,1EICPBWv4fDj3sy3vn6p0y,-16.973,0.53,2008,https://api.spotify.com/v1/audio-analysis/4FycxLfl7H5CQnqw9J6LXZ,58,4FycxLfl7H5CQnqw9J6LXZ,https://api.spotify.com/v1/tracks/4FycxLfl7H5CQnqw9J6LXZ,0.102,4,essential,spotify:track:4FycxLfl7H5CQnqw9J6LXZ,"Karl Jenkins, Carmine Lauri, David Alberman, London Symphony Orchestra",Classical Essentials,2,0,226880,0.567,0.339
"Beethoven: Piano Sonatas, Vol.3",0.887,170.612,3DNRdudZ2SstnDCVKFdXxG,0.0432,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",37i9dQZF1DWWEJlAGA9gs0,0.151,audio_features,classical,4bNwPPpk01D8pVV9IFSBde,-37.264,0.184,2007-09-25,https://api.spotify.com/v1/audio-analysis/3DNRdudZ2SstnDCVKFdXxG,68,3DNRdudZ2SstnDCVKFdXxG,https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG,0.173,3,essential,spotify:track:3DNRdudZ2SstnDCVKFdXxG,"Ludwig van Beethoven, Paul Lewis",Classical Essentials,1,0,315427,0.995,0.00527
Mozart: Eine Kleine Nachtmusik,0.913,139.478,2mRUmSG3XGjFloqgAT2UJN,0.039,Eine kleine Nachtmusik K. 525: Allegro,37i9dQZF1DWWEJlAGA9gs0,0.31,audio_features,classical,4XtXDGPvBn9DMDWuqZ0uX9,-19.978,0.366,1998,https://api.spotify.com/v1/audio-analysis/2mRUmSG3XGjFloqgAT2UJN,49,2mRUmSG3XGjFloqgAT2UJN,https://api.spotify.com/v1/tracks/2mRUmSG3XGjFloqgAT2UJN,0.0725,4,essential,spotify:track:2mRUmSG3XGjFloqgAT2UJN,"Wolfgang Amadeus Mozart, Andrew Watkinson",Classical Essentials,7,1,352000,0.885,0.139
Rimsky-Korsakov: Scheherezade,0.603,120.736,04eShjKTWijeJJqGnhxpYK,0.049,Scheherazade: The Tale of the Kalendar Prince,37i9dQZF1DWWEJlAGA9gs0,0.0781,audio_features,classical,3QXtNXmOyrOfZ2mWG4rw9v,-24.404,0.235,1999-02-01,https://api.spotify.com/v1/audio-analysis/04eShjKTWijeJJqGnhxpYK,57,04eShjKTWijeJJqGnhxpYK,https://api.spotify.com/v1/tracks/04eShjKTWijeJJqGnhxpYK,0.466,3,essential,spotify:track:04eShjKTWijeJJqGnhxpYK,"Nikolai Rimsky-Korsakov, Lars Hjalmar Joakim",Classical Essentials,11,0,200360,0.962,0.0639
"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",0.881,163.665,2MSgFefjK0T7Iwjvr3OKqV,0.0509,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",37i9dQZF1DWWEJlAGA9gs0,0.186,audio_features,classical,3hW1TEeZRJ01XycQFABjj9,-30.928,0.225,2000-01-01,https://api.spotify.com/v1/audio-analysis/2MSgFefjK0T7Iwjvr3OKqV,65,2MSgFefjK0T7Iwjvr3OKqV,https://api.spotify.com/v1/tracks/2MSgFefjK0T7Iwjvr3OKqV,0.0722,4,essential,spotify:track:2MSgFefjK0T7Iwjvr3OKqV,"Frédéric Chopin, Mikhail Pletnev",Classical Essentials,1,0,259493,0.992,0.0047
Tchaikovsky: Piano Concerto No.1; Prokofiev: Piano Concerto No.3,0.859,133.808,3QqPgzOcv9titKufFR0gsQ,0.0349,"Piano Concerto No. 3 in C, Op. 26: 1. Andante - Allegro",37i9dQZF1DWWEJlAGA9gs0,0.0986,audio_features,classical,5hOFetItodSTqXX2uKz5Pa,-16.205,0.353,2014-01-01,https://api.spotify.com/v1/audio-analysis/3QqPgzOcv9titKufFR0gsQ,44,3QqPgzOcv9titKufFR0gsQ,https://api.spotify.com/v1/tracks/3QqPgzOcv9titKufFR0gsQ,0.0843,4,essential,spotify:track:3QqPgzOcv9titKufFR0gsQ,"Sergei Prokofiev, Behzod Abduraimov, Orchestra Sinfonica Nazionale Della RAI, Juraj Valcuha",Classical Essentials,0,1,564640,0.948,0.254
Handel: Coronation Anthems; Concerti a Due Cori,0.0235,95.839,30bQxViotttoZ7x2iUP2L9,0.0389,"Zadok the Priest (Coronation Anthem No. 1, HWV 258)",37i9dQZF1DWWEJlAGA9gs0,0.148,audio_features,classical,7Gi7VwRTgcVL9jKilHtztX,-15.758,0.374,1995-01-01,https://api.spotify.com/v1/audio-analysis/30bQxViotttoZ7x2iUP2L9,47,30bQxViotttoZ7x2iUP2L9,https://api.spotify.com/v1/tracks/30bQxViotttoZ7x2iUP2L9,0.0754,4,essential,spotify:track:30bQxViotttoZ7x2iUP2L9,"George Frideric Handel, Trevor Pinnock, The English Concert, Simon Preston, The Choir Of Westminster Abbey",Classical Essentials,1,1,323427,0.92,0.178
