track_name,valence,playlist_name,energy,id,speechiness,tempo,playlist_genre,track_id,track_album_release_date,mode,danceability,instrumentalness,time_signature,loudness,track_album_id,track_popularity,uri,duration_ms,track_href,track_artist,key,playlist_subgenre,acousticness,liveness,analysis_url,type,track_album_name,playlist_id
Africa,0.732,80s Rock Anthems,0.373,2374M0fQpWi3dLnB54qaLX,0.0323,92.718,rock,2374M0fQpWi3dLnB54qaLX,1982-04-08,1,0.671,8.01e-05,4,-18.064,62U7xIHcID94o20Of5ea4D,83,spotify:track:2374M0fQpWi3dLnB54qaLX,295893,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,TOTO,9,80s,0.257,0.0481,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,audio_features,Toto IV,37i9dQZF1DX1spT6G94GFC
Jah Give Us Life,0.962,Reggae Classics,0.568,0hebjXwdDFHS1kHDQ82HZr,0.0577,144.675,reggae,0hebjXwdDFHS1kHDQ82HZr,1900-01-01,0,0.76,0.000943,4,-12.166,35JVHz9f0H9oIzSYNW7BAC,52,spotify:track:0hebjXwdDFHS1kHDQ82HZr,232440,https://api.spotify.com/v1/tracks/0hebjXwdDFHS1kHDQ82HZr,Wailing Souls,2,classic,0.0521,0.0666,https://api.spotify.com/v1/audio-analysis/0hebjXwdDFHS1kHDQ82HZr,audio_features,The Very Best Of The Wailing Souls,71R43lBYQZ6JQXH6LmRo1I
Sweet Little Rainbows,0.705,Soul Coffee,0.624,0eFp7ULoYiRgaYZH0xq79i,0.317,175.94,soul,0eFp7ULoYiRgaYZH0xq79i,2024-10-25,1,0.518,1.38e-06,4,-3.469,0zwexK02AqJJnv1KE3Jj2S,34,spotify:track:0eFp7ULoYiRgaYZH0xq79i,223522,https://api.spotify.com/v1/tracks/0eFp7ULoYiRgaYZH0xq79i,Allen Stone,1,classic,0.361,0.0612,https://api.spotify.com/v1/audio-analysis/0eFp7ULoYiRgaYZH0xq79i,audio_features,Mystery,37i9dQZF1DXaXDsfv6nvZ5
April In Paris - 2007 Remaster/Rudy Van Gelder Edition,0.17,Jazz Classics,0.224,3QuSHJUfvuOyeKMS32Wckj,0.0327,112.355,jazz,3QuSHJUfvuOyeKMS32Wckj,2007-01-01,1,0.509,0.301,4,-11.123,5ZaHEBnWWXSD3zvfiY6pju,45,spotify:track:3QuSHJUfvuOyeKMS32Wckj,403360,https://api.spotify.com/v1/tracks/3QuSHJUfvuOyeKMS32Wckj,Thad Jones,0,classic,0.736,0.327,https://api.spotify.com/v1/audio-analysis/3QuSHJUfvuOyeKMS32Wckj,audio_features,The Magnificent Thad Jones (Remastered),37i9dQZF1DXbITWG1ZJKYt
C Jam Blues,0.857,Jazz Classics,0.308,4aThNuFztJ15YremppiZUJ,0.0368,115.486,jazz,4aThNuFztJ15YremppiZUJ,1963-01-01,1,0.47,0.039,4,-18.663,3gPOWmWT0q7Ygp95Xiuw1v,47,spotify:track:4aThNuFztJ15YremppiZUJ,203467,https://api.spotify.com/v1/tracks/4aThNuFztJ15YremppiZUJ,Oscar Peterson Trio,5,classic,0.82,0.115,https://api.spotify.com/v1/audio-analysis/4aThNuFztJ15YremppiZUJ,audio_features,Night Train (Expanded Edition),37i9dQZF1DXbITWG1ZJKYt
ALL MINE,0.22,R&B Hits,0.378,3XgGQ1wjo5khvq2UImjyNF,0.0315,141.967,r&b,3XgGQ1wjo5khvq2UImjyNF,2022-07-08,1,0.617,9.16e-05,4,-8.54,0PHMNbcgHfzSUALlfk7wGg,76,spotify:track:3XgGQ1wjo5khvq2UImjyNF,216063,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,Brent Faiyaz,9,modern,0.428,0.11,https://api.spotify.com/v1/audio-analysis/3XgGQ1wjo5khvq2UImjyNF,audio_features,WASTELAND,37i9dQZF1EQoqCH7BwIYb7
I'm Glad There Is You,0.165,Jazz Classics,0.0671,1xlyVmdCo5lMRIzuMlAUF7,0.0399,124.908,jazz,1xlyVmdCo5lMRIzuMlAUF7,1955-12-01,0,0.492,0.000968,4,-15.671,6hDZjN3iWJ95RIXnxbiG1P,55,spotify:track:1xlyVmdCo5lMRIzuMlAUF7,147413,https://api.spotify.com/v1/tracks/1xlyVmdCo5lMRIzuMlAUF7,Julie London,10,classic,0.958,0.109,https://api.spotify.com/v1/audio-analysis/1xlyVmdCo5lMRIzuMlAUF7,audio_features,Julie Is Her Name,37i9dQZF1DXbITWG1ZJKYt
ミックスナッツ,0.784,Anime Hits,0.918,60ReNXcPcsVFd7nUuQw5HZ,0.0937,150.094,j-pop,60ReNXcPcsVFd7nUuQw5HZ,2022-04-15,1,0.542,0,4,-5.074,3O9SqecmKFv2ZafPKwahtz,57,spotify:track:60ReNXcPcsVFd7nUuQw5HZ,213438,https://api.spotify.com/v1/tracks/60ReNXcPcsVFd7nUuQw5HZ,OFFICIAL HIGE DANDISM,6,anime,0.0101,0.259,https://api.spotify.com/v1/audio-analysis/60ReNXcPcsVFd7nUuQw5HZ,audio_features,ミックスナッツ,37i9dQZF1DX3f3gm9VK7fL
Solitude,0.188,Jazz Classics,0.15,30QD4VRP9yEneOh0eGTrtJ,0.051,97.902,jazz,30QD4VRP9yEneOh0eGTrtJ,1956-01-01,1,0.461,0.000902,3,-13.531,4izD3SCRElbkO06i8yf4Zp,64,spotify:track:30QD4VRP9yEneOh0eGTrtJ,207600,https://api.spotify.com/v1/tracks/30QD4VRP9yEneOh0eGTrtJ,Billie Holiday,8,classic,0.984,0.105,https://api.spotify.com/v1/audio-analysis/30QD4VRP9yEneOh0eGTrtJ,audio_features,Solitude,37i9dQZF1DXbITWG1ZJKYt
Super Gremlin,0.106,Gangster Rap,0.414,1Y5Jvi3eLi4Chwqch9GMem,0.144,72.993,hip-hop,1Y5Jvi3eLi4Chwqch9GMem,2022-02-25,1,0.825,0,4,-6.634,7sX9VE0I4zbslanrLXR5aR,66,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,200548,https://api.spotify.com/v1/tracks/1Y5Jvi3eLi4Chwqch9GMem,Kodak Black,2,gangster,0.00265,0.357,https://api.spotify.com/v1/audio-analysis/1Y5Jvi3eLi4Chwqch9GMem,audio_features,Back For Everything,6mODZNt8CYYEBrWAyS5vs4
Always on My Mind,0.378,Classic Country,0.421,1PcHxke0IW95xoesZDq7ZJ,0.0257,73.645,country,1PcHxke0IW95xoesZDq7ZJ,2022-06-20,1,0.62,4.64e-06,4,-9.987,1KEzsfN2P3a5FVuFNI1UUR,39,spotify:track:1PcHxke0IW95xoesZDq7ZJ,200424,https://api.spotify.com/v1/tracks/1PcHxke0IW95xoesZDq7ZJ,Jason Morrigan,2,classic,0.712,0.199,https://api.spotify.com/v1/audio-analysis/1PcHxke0IW95xoesZDq7ZJ,audio_features,Best Country Love Songs: Old Country Music from the 60'S 70'S 80'S 90'S,5AgNIKN8i20irzvQ7CTO68
For Lena And Lennie,0.206,Jazz Classics,0.0857,5uNtaTmigAubx5fLfO92AW,0.0384,73.161,jazz,5uNtaTmigAubx5fLfO92AW,1962,1,0.437,0.641,4,-18.129,5x1ThzsG2tvGCzdcbS54GH,45,spotify:track:5uNtaTmigAubx5fLfO92AW,259413,https://api.spotify.com/v1/tracks/5uNtaTmigAubx5fLfO92AW,Quincy Jones,0,classic,0.84,0.0898,https://api.spotify.com/v1/audio-analysis/5uNtaTmigAubx5fLfO92AW,audio_features,The Quintessence,37i9dQZF1DXbITWG1ZJKYt
Bad For You (feat. Jazmine Sullivan),0.881,Arab X,0.888,3Ae97zTfGTtJzDfmCweNn8,0.116,91.991,arabic,3Ae97zTfGTtJzDfmCweNn8,2024-11-22,0,0.745,0,4,-4.193,3dLXfyaG1kYeSQknLs2LP1,0,spotify:track:3Ae97zTfGTtJzDfmCweNn8,170760,https://api.spotify.com/v1/tracks/3Ae97zTfGTtJzDfmCweNn8,"Wizkid, Jazmine Sullivan",1,modern,0.108,0.311,https://api.spotify.com/v1/audio-analysis/3Ae97zTfGTtJzDfmCweNn8,audio_features,Morayo,3gZgGRvDn9tTUy8n7699pD
