id,name,artist,popularity,genre,subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4ppKM7xnkSAwSyKqD4QTY4,Chill Bae,Lil Uzi Vert,76,hip-hop,modern,0.672,0.663,3,-5.984,1,0.243,0.112,0,0.134,0.381,184.057,audio_features,spotify:track:4ppKM7xnkSAwSyKqD4QTY4,https://api.spotify.com/v1/tracks/4ppKM7xnkSAwSyKqD4QTY4,https://api.spotify.com/v1/audio-analysis/4ppKM7xnkSAwSyKqD4QTY4,138324,4
3HMY0r2BAdpasXMY8rseR0,Too Sweet,Hozier,79,rock,feel-good,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,spotify:track:3HMY0r2BAdpasXMY8rseR0,https://api.spotify.com/v1/tracks/3HMY0r2BAdpasXMY8rseR0,https://api.spotify.com/v1/audio-analysis/3HMY0r2BAdpasXMY8rseR0,251424,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,94,gaming,modern,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,audio_features,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,218424,4
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,84,gaming,modern,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4
4w2GLmK2wnioVnb5CPQeex,360,Charli xcx,81,gaming,modern,0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,audio_features,spotify:track:4w2GLmK2wnioVnb5CPQeex,https://api.spotify.com/v1/tracks/4w2GLmK2wnioVnb5CPQeex,https://api.spotify.com/v1/audio-analysis/4w2GLmK2wnioVnb5CPQeex,133805,4
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,82,pop,mainstream,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.969,audio_features,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,https://api.spotify.com/v1/tracks/5uQ7de4EWjb3rkcFxyEOpu,https://api.spotify.com/v1/audio-analysis/5uQ7de4EWjb3rkcFxyEOpu,148318,4
2EKL77lwxvo615Ga7VjEUl,HIM ALL ALONG,Gunna,76,hip-hop,modern,0.872,0.507,4,-6.323,0,0.072,0.195,0,0.111,0.506,130.007,audio_features,spotify:track:2EKL77lwxvo615Ga7VjEUl,https://api.spotify.com/v1/tracks/2EKL77lwxvo615Ga7VjEUl,https://api.spotify.com/v1/audio-analysis/2EKL77lwxvo615Ga7VjEUl,158667,4
3aCPResPDNae3pXTocGpYe,LIL DEMON,Future,77,hip-hop,modern,0.863,0.754,11,-5.851,1,0.0611,0.00125,0,0.0913,0.301,131.001,audio_features,spotify:track:3aCPResPDNae3pXTocGpYe,https://api.spotify.com/v1/tracks/3aCPResPDNae3pXTocGpYe,https://api.spotify.com/v1/audio-analysis/3aCPResPDNae3pXTocGpYe,139197,4
6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,81,latin,chill,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,audio_features,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/audio-analysis/6tDDoYIxWvMLTdKpjFkc1B,160191,4
1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",90,pop,global,0.576,0.884,0,-5.058,1,0.555,0.357,0,0.368,0.373,150.45,audio_features,spotify:track:1QoyuMHNBe7lg3YW4Qtll4,https://api.spotify.com/v1/tracks/1QoyuMHNBe7lg3YW4Qtll4,https://api.spotify.com/v1/audio-analysis/1QoyuMHNBe7lg3YW4Qtll4,197020,4
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"DJ Snake, Justin Bieber",83,electronic,modern,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892,audio_features,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,205947,4
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,90,gaming,modern,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,audio_features,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,175459,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,94,pop,mainstream,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,audio_features,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,218424,4
5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,"Tito Double P, Peso Pluma",88,latin,modern,0.745,0.513,1,-9.116,1,0.087,0.783,0,0.216,0.929,109.935,audio_features,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,https://api.spotify.com/v1/tracks/5lKFO0PrOC9jmOlPEdjHsL,https://api.spotify.com/v1/audio-analysis/5lKFO0PrOC9jmOlPEdjHsL,154620,3
0EhmTBq33eARyOz3SIi4P2,En Otra Vida,"Yami Safdie, Lasso",79,latin,modern,0.459,0.162,0,-11.634,1,0.0425,0.929,0,0.137,0.483,184.784,audio_features,spotify:track:0EhmTBq33eARyOz3SIi4P2,https://api.spotify.com/v1/tracks/0EhmTBq33eARyOz3SIi4P2,https://api.spotify.com/v1/audio-analysis/0EhmTBq33eARyOz3SIi4P2,153609,3
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,85,pop,mainstream,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,audio_features,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",100,pop,mainstream,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,audio_features,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3
6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),"SZA, Travis Scott",80,r&b,modern,0.434,0.586,9,-7.612,1,0.138,0.753,0.0144,0.146,0.239,78.259,audio_features,spotify:track:6koKhrBBcExADvWuOgceNZ,https://api.spotify.com/v1/tracks/6koKhrBBcExADvWuOgceNZ,https://api.spotify.com/v1/audio-analysis/6koKhrBBcExADvWuOgceNZ,239613,4
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,78,pop,global,0.466,0.872,7,-3.344,1,0.0336,0.0156,0,0.121,0.806,184.115,audio_features,spotify:track:1EDPVGbyPKJPeGqATwXZvN,https://api.spotify.com/v1/tracks/1EDPVGbyPKJPeGqATwXZvN,https://api.spotify.com/v1/audio-analysis/1EDPVGbyPKJPeGqATwXZvN,190428,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,97,pop,mainstream,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,audio_features,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373,4
5QjmUqgpPQgXgg4606DqZF,UWAIE,Kapo,86,latin,modern,0.705,0.783,9,-4.783,0,0.0403,0.138,0,0.0984,0.454,103.001,audio_features,spotify:track:5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/audio-analysis/5QjmUqgpPQgXgg4606DqZF,172427,4
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",87,hip-hop,modern,0.373,0.818,3,-3.19,0,0.102,0.36,0,0.434,0.361,97.571,audio_features,spotify:track:0VaeksJaXy5R1nvcTMh3Xk,https://api.spotify.com/v1/tracks/0VaeksJaXy5R1nvcTMh3Xk,https://api.spotify.com/v1/audio-analysis/0VaeksJaXy5R1nvcTMh3Xk,253834,4
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya",80,electronic,modern,0.533,0.869,11,-5.093,1,0.173,0.156,0.00538,0.136,0.425,159.805,audio_features,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,208373,4
0U60hgxzGit7juEuHul2y3,25,Rod Wave,76,hip-hop,modern,0.427,0.5,0,-8.269,1,0.141,0.286,0,0.127,0.269,63.925,audio_features,spotify:track:0U60hgxzGit7juEuHul2y3,https://api.spotify.com/v1/tracks/0U60hgxzGit7juEuHul2y3,https://api.spotify.com/v1/audio-analysis/0U60hgxzGit7juEuHul2y3,180000,5
3OJDtCdYs8QJnui708tEU3,Soltera,Shakira,86,latin,modern,0.841,0.752,2,-4.735,1,0.105,0.167,0.00046,0.949,0.67,100.076,audio_features,spotify:track:3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/tracks/3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/audio-analysis/3OJDtCdYs8QJnui708tEU3,214643,4
